wave	source_kind	source_branch	source_commit	source_path	source_date	sha256	doc_title	doc_type	evidence_scope	artifact_roots	snapshot_path	absorbed_into	raw_status
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_autoregressive_duplication_mechanism_charter.md	2026-06-10	ca8c48af0bbf2a662d0cda6f637b0bb020ac075c8b3149ca989f213188d814f4	Autoregressive Duplication Mechanism Diagnosis Charter	diagnostic-fragment	none-yet	/data/CoordExp/outputs/stage1_2b/recursive_detection_ce_latest/compact_full_fullobj_random_sft_bsz16_4epoch_tokenrows_v2/compact-full-fullobj-random-sft-bsz16-4epoch-tokenrows-v2/v1-20260601-062428/checkpoint-3668;/data/CoordExp/outputs/infer/loss_only_instance_enumeration_ablation_active_vs_none/compact_full_prefix_rollin_balance2_no_aligner_parent_val128_freegreedy_ckpt3668_val128_bsz8_temp0_rp1p10_max3084_chatfix_8gpu;/data/CoordExp/outputs/stage1_2b/recursive_detection_ce_latest/compact_full_fullobj_random_sft_llm_aligner_lora_packed_bsz16_4epoch_tokenrows_v2/compact-full-fullobj-random-sft-llm-aligner-lora-packed-bsz16-4epoch-tokenrows-v2/v5-20260608-081447/checkpoint-1824	snapshots/ca8c48af0bbf/progress/diagnostics/2026-06-10_autoregressive_duplication_mechanism_charter.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_attention_head_patch_findings.md	2026-06-10	8b613c65f47d5f780b9bb24bde7f57bcb96c3d94e2cb70c82410d4922cb73f33	Phase 4 Attention Head Patch Findings	diagnostic-fragment	phase4-top4-head13-allshards-smoke	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_top4_head13_allshards_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_top4_head13_allshards_report.md	snapshots/8b613c65f47d/progress/diagnostics/2026-06-10_phase4_attention_head_patch_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_decoder_input_output_onset_findings.md	2026-06-10	854b62cbb078ddd934fe452a5a5dafdc7abb5158a247dd7cd983e2dd1f210023	Phase 4 Decoder Input/Output Onset Findings	diagnostic-fragment	phase4-decoder-input-output-onset-top4-allshards	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_decoder_input_output_layers_12_16_18_20_22_24_top4_allshards_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_decoder_input_output_layers_12_16_18_20_22_24_top4_allshards_report.md	snapshots/854b62cbb078/progress/diagnostics/2026-06-10_phase4_decoder_input_output_onset_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_decoder_transition_fine_sweep_findings.md	2026-06-10	93a2a7a073a0b0655f430a8b109f393c414ecfabcf4f430823c3f24745f5d3b0	Phase 4 Decoder Transition Fine Sweep Findings	diagnostic-fragment	phase4-decoder-input-output-transition-top4-allshards	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_decoder_input_output_layers_14_15_16_17_18_top4_allshards_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_decoder_input_output_layers_14_15_16_17_18_top4_allshards_report.md	snapshots/93a2a7a073a0/progress/diagnostics/2026-06-10_phase4_decoder_transition_fine_sweep_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_grouped_attention_patch_findings.md	2026-06-10	3da8056a1904b5cee8de0ac4bb21963b0ba8d16268c335b491e1fc87aaa91a06	Phase 4 Grouped Attention Patch Findings	diagnostic-fragment	phase4-layer16-grouped-attention-top4-allshards	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer16_multigroup_top4_allshards_v2_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer16_multigroup_top4_allshards_v2_report.md	snapshots/3da8056a1904/progress/diagnostics/2026-06-10_phase4_grouped_attention_patch_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_layer17_allheads_findings.md	2026-06-10	81792c435572bf45905e505875b9a32419fb202366865bd2288bf27f7ec79427	Phase 4 Layer 17 All-Heads Findings	diagnostic-fragment	phase4-layer17-allheads-top4-allshards	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer17_allheads_top4_allshards_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer17_allheads_top4_allshards_report.md	snapshots/81792c435572/progress/diagnostics/2026-06-10_phase4_layer17_allheads_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_layer17_attention_head_findings.md	2026-06-10	8d9304f344c72470835c9a80f40a4731ff2fe3ff9f34e285003ab6a683b83a48	Phase 4 Layer 17 Attention Head Findings	diagnostic-fragment	phase4-layer17-attention-head-top4-allshards	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer17_top4_allshards_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer17_top4_allshards_report.md	snapshots/8d9304f344c7/progress/diagnostics/2026-06-10_phase4_layer17_attention_head_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_layer17_head1_group_findings.md	2026-06-10	6c32aafd85d14b513a7329131c0327814e55cbcacf31c702783c202d29997cdc	Phase 4 Layer 17 Head 1 Group Findings	diagnostic-fragment	phase4-layer17-head1-groups-top4-allshards	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer17_head1_groups_top4_allshards_v2_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_attention_patch_layer17_head1_groups_top4_allshards_v2_report.md	snapshots/6c32aafd85d1/progress/diagnostics/2026-06-10_phase4_layer17_head1_group_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_layer17_head1_projected_contribution_patch_findings.md	2026-06-10	f6ad3f286e150ce0703a83dcd11f72dca3ee64f36753a64776de4fea90fb550f	Phase 4 Layer 17 Head 1 Projected-Contribution Patch Findings	diagnostic-fragment	-	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_projected_contribution_patch_layer17_head1_top4_allshards_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_projected_contribution_patch_layer17_head1_top4_allshards_report.md	snapshots/f6ad3f286e15/progress/diagnostics/2026-06-10_phase4_layer17_head1_projected_contribution_patch_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
june10_12_deleted	tarball_from_deleted_commit	codex/mechanistic-diagnosis-experiments	9d668607494f39ff59bc0756bdc81cc5a8b79969	progress/diagnostics/2026-06-10_phase4_layer17_head1_projected_direction_component_findings.md	2026-06-10	8791e24c36fce1585bb970d2b27d322454fb5aced5b81aec99119b0064784262	Phase 4 Layer 17 Head 1 Projected Direction Component Findings	diagnostic-fragment	-	/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_projected_direction_components_layer17_head1_top4_allshards_summary.json;/data/CoordExp/outputs/analysis/autoregressive_duplication_mechanism/phase1_hidden_logit_manifest_20260610-073920/phase4_projected_direction_components_layer17_head1_top4_allshards_report.md	snapshots/8791e24c36fc/progress/diagnostics/2026-06-10_phase4_layer17_head1_projected_direction_component_findings.md	experiments/2026-06-10_12_autoregressive_duplication_causal_chain.md	archived_snapshot_existing_consolidation_checked
